fdc_id,description,brand_owner,data_type,food_category,calories,protein_g,fat_g,carbs_g,sugar_g,fiber_g,sodium_mg,cholesterol_mg,saturated_fat_g,protein_per_calorie
2705953,"Chicken breast, NS as to cooking method, skin eaten",N/A,Survey (FNDDS),"Chicken, whole pieces",175.0,26.37,7.67,0.09,,0.0,329.0,90.0,1.958,0.151
2705954,"Chicken breast, NS as to cooking method, skin not eaten",N/A,Survey (FNDDS),"Chicken, whole pieces",144.0,28.04,3.57,0.0,,0.0,328.0,86.0,0.863,0.195
2706446,"Stuffed chicken, drumstick or breast, Puerto Rican style",N/A,Survey (FNDDS),Poultry mixed dishes,236.0,28.4,10.54,6.51,,0.3,901.0,167.0,3.477,0.12
2705957,"Chicken breast, baked or broiled, skin eaten, from pre-cooked",N/A,Survey (FNDDS),"Chicken, whole pieces",175.0,26.37,7.67,0.09,,0.0,329.0,90.0,1.958,0.151
2705958,"Chicken breast, baked or broiled, skin not eaten, from pre-cooked",N/A,Survey (FNDDS),"Chicken, whole pieces",144.0,28.04,3.57,0.0,,0.0,328.0,86.0,0.863,0.195
2705955,"Chicken breast, baked, broiled, or roasted, skin eaten, from raw",N/A,Survey (FNDDS),"Chicken, whole pieces",192.0,26.25,8.8,0.0,,0.0,336.0,97.0,2.287,0.137
2705956,"Chicken breast, baked, broiled, or roasted, skin not eaten, from raw",N/A,Survey (FNDDS),"Chicken, whole pieces",161.0,30.22,3.52,0.0,,0.0,360.0,98.0,0.756,0.188
2705973,"Chicken breast, fried, coated, skin / coating eaten, from raw",N/A,Survey (FNDDS),"Chicken, whole pieces",243.0,21.46,14.11,6.01,,0.2,299.0,79.0,2.77,0.088
2705974,"Chicken breast, fried, coated, skin / coating not eaten, from raw",N/A,Survey (FNDDS),"Chicken, whole pieces",176.0,29.62,5.45,0.0,,0.0,353.0,96.0,1.008,0.168
2705959,"Chicken breast, baked or broiled, skin eaten, from fast food / restaurant",N/A,Survey (FNDDS),"Chicken, whole pieces",206.0,25.67,10.6,0.0,,0.0,406.0,95.0,2.504,0.125
2705960,"Chicken breast, baked or broiled, skin not eaten, from fast food / restaurant",N/A,Survey (FNDDS),"Chicken, whole pieces",176.0,29.56,5.44,0.0,,0.0,430.0,96.0,1.006,0.168
2705961,"Chicken breast, baked, broiled, or roasted with marinade, skin eaten, from raw",N/A,Survey (FNDDS),"Chicken, whole pieces",204.0,25.32,10.45,0.31,,0.0,399.0,94.0,2.463,0.124
2705962,"Chicken breast, baked, broiled, or roasted with marinade, skin not eaten, from raw",N/A,Survey (FNDDS),"Chicken, whole pieces",175.0,29.13,5.38,0.31,,0.0,423.0,94.0,0.993,0.166
2705975,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",N/A,Survey (FNDDS),"Chicken, whole pieces",219.0,24.56,9.99,6.01,,0.2,318.0,80.0,1.576,0.112
2705976,"Chicken breast, fried, coated, skin / coating eaten, from pre-cooked",N/A,Survey (FNDDS),"Chicken, whole pieces",250.0,20.58,14.79,7.21,,0.3,331.0,76.0,2.82,0.082
2705977,"Chicken breast, fried, coated, skin / coating not eaten, from pre-cooked",N/A,Survey (FNDDS),"Chicken, whole pieces",176.0,29.62,5.45,0.0,,0.0,353.0,96.0,1.008,0.168
2705978,"Chicken breast, fried, coated, skin / coating eaten, from fast food / restaurant",N/A,Survey (FNDDS),"Chicken, whole pieces",273.0,19.32,16.95,10.72,,0.3,549.0,75.0,3.573,0.071
2705979,"Chicken breast, fried, coated, skin / coating not eaten, from fast food / restaurant",N/A,Survey (FNDDS),"Chicken, whole pieces",213.0,22.77,10.78,6.01,,0.2,436.0,79.0,1.907,0.107
2706087,"Chicken, chicken roll, roasted",N/A,Survey (FNDDS),"Chicken, whole pieces",164.0,26.68,6.33,0.0,,0.0,499.0,112.0,1.573,0.163
2706443,Orange chicken,N/A,Survey (FNDDS),Stir-fry and soy-based sauce mixtures,262.0,14.46,12.68,22.46,,0.8,553.0,61.0,2.422,0.055
2706538,Biryani with chicken,N/A,Survey (FNDDS),Rice mixed dishes,104.0,7.15,2.38,13.55,,1.1,161.0,25.0,0.907,0.069
2707134,"Soup, chicken",N/A,Survey (FNDDS),"Soups, broth-based",40.0,3.44,1.14,4.04,,0.8,249.0,12.0,0.268,0.086
2706085,Chicken feet,N/A,Survey (FNDDS),"Chicken, whole pieces",215.0,19.4,14.6,0.2,,0.0,67.0,84.0,3.92,0.09
2706084,Chicken skin,N/A,Survey (FNDDS),"Chicken, whole pieces",450.0,20.19,40.34,0.0,,0.0,387.0,82.0,11.325,0.045
2706081,"Chicken, back",N/A,Survey (FNDDS),"Chicken, whole pieces",298.0,25.73,20.8,0.0,,0.0,409.0,87.0,5.772,0.086
2706091,"Chicken, ground",N/A,Survey (FNDDS),"Chicken, whole pieces",201.0,27.14,10.31,0.0,,0.0,400.0,92.0,2.647,0.135
2706083,"Chicken, tail",N/A,Survey (FNDDS),"Chicken, whole pieces",454.0,20.36,40.68,0.0,,0.0,65.0,83.0,11.42,0.045
2706797,Almond chicken,N/A,Survey (FNDDS),Stir-fry and soy-based sauce mixtures,195.0,15.66,13.16,4.46,,1.2,330.0,57.0,1.919,0.08
2287080,COTTAGE CHEESE,"Lala U.S., Inc. ",Branded,Cheese,106.0,11.5,4.42,3.54,,0.0,434.0,22.0,3.1,0.108
2433763,COTTAGE CHEESE,Belfonte Ice Cream,Branded,Cheese,105.0,11.4,4.39,3.51,,0.0,360.0,22.0,1.32,0.109
2102157,COTTAGE CHEESE,"Supervalu, Inc.",Branded,Cheese,62.0,10.6,0.0,3.54,,0.0,354.0,4.0,0.0,0.171
2078618,COTTAGE CHEESE,"Clover Stornetta Farms, Inc.",Branded,Cheese,106.0,12.4,4.42,2.65,,0.0,301.0,18.0,2.65,0.117
2038049,COTTAGE CHEESE,Dean Foods Company,Branded,Cheese,80.0,10.6,1.33,5.31,,0.0,416.0,9.0,0.88,0.133
1961804,COTTAGE CHEESE,"Schnuck Markets, Inc.",Branded,Cheese,88.0,9.65,4.39,4.39,,0.0,421.0,22.0,2.63,0.11
1593065,COTTAGE CHEESE,Kraft Heinz Foods Company,Branded,Cheese,102.0,8.47,5.08,5.93,,0.0,331.0,25.0,2.97,0.083
1864388,COTTAGE CHEESE,McIlhenny Company,Branded,Cheese,80.0,11.5,0.88,4.42,,0.9,416.0,9.0,0.44,0.144
2474206,COTTAGE CHEESE,Defense Commissary Agency,Branded,Cheese,97.0,10.6,4.42,4.42,,0.0,363.0,18.0,2.21,0.109
1920455,COTTAGE CHEESE,"Ahold USA, Inc. ",Branded,Cheese,71.0,10.6,0.0,5.31,,0.0,381.0,4.0,0.0,0.149
2546921,COTTAGE CHEESE,United World Imports Inc.,Branded,Cheese,95.0,7.5,4.0,6.5,,0.5,230.0,18.0,3.0,0.079
2117007,COTTAGE CHEESE,Dean Foods Company,Branded,Cheese,88.0,13.3,2.21,3.54,,0.0,319.0,13.0,1.33,0.151
2117010,COTTAGE CHEESE,Dean Foods Company,Branded,Cheese,88.0,13.3,2.21,3.54,,0.0,319.0,13.0,1.33,0.151
2117012,COTTAGE CHEESE,Dean Foods Company,Branded,Cheese,88.0,13.3,2.21,3.54,,0.0,319.0,13.0,1.33,0.151
2025821,COTTAGE CHEESE,The Kroger Co.,Branded,Cheese,97.0,10.6,4.42,4.42,,0.0,336.0,18.0,2.65,0.109
2658102,COTTAGE CHEESE,"Darigold, Inc. ",Branded,Cheese,80.0,11.5,2.21,4.42,,0.0,381.0,13.0,1.33,0.144
2658451,COTTAGE CHEESE,Kraft Heinz Foods Company,Branded,Cheese,68.0,8.55,0.0,6.84,,0.0,342.0,4.0,0.0,0.126
1864360,COTTAGE CHEESE,McIlhenny Company,Branded,Cheese,106.0,11.5,4.42,4.42,,0.0,398.0,22.0,2.65,0.108
2112025,COTTAGE CHEESE,Super Store Industries,Branded,Cheese,100.0,11.8,5.45,3.64,,0.0,327.0,18.0,3.18,0.118
2639059,COTTAGE CHEESE,Super Store Industries,Branded,Cheese,100.0,11.8,5.45,3.64,,0.0,327.0,18.0,3.18,0.118
2021248,COTTAGE CHEESE,"Prairie Farms Dairy, Inc.",Branded,Cheese,70.0,10.5,0.0,5.26,,0.0,412.0,4.0,0.0,0.15
2471337,COTTAGE CHEESE,"Lala U.S., Inc. ",Branded,Cheese,97.0,10.6,4.42,3.54,,0.0,425.0,18.0,3.1,0.109
1941011,COTTAGE CHEESE,Titusville Dairy Products Co,Branded,Cheese,97.0,10.6,4.42,4.42,,0.0,425.0,22.0,2.65,0.109
2100766,COTTAGE CHEESE,Hannaford Bros. Co.,Branded,Cheese,106.0,12.4,3.98,4.42,,0.2,381.0,27.0,2.65,0.117
2101852,COTTAGE CHEESE,"Winn-Dixie Stores, Inc.",Branded,Cheese,105.0,12.3,4.39,4.39,,0.0,395.0,26.0,2.63,0.117
2055879,COTTAGE CHEESE,Umpqua Dairy Products Co.,Branded,Cheese,71.0,9.73,1.77,4.42,,0.2,416.0,13.0,1.33,0.137
2069295,COTTAGE CHEESE,"Lala U.S., Inc. ",Branded,Cheese,106.0,11.5,4.42,3.54,,0.0,434.0,22.0,3.1,0.108
2078671,COTTAGE CHEESE,Hiland Dairy Inc.,Branded,Cheese,88.0,9.65,4.39,4.39,,0.0,421.0,22.0,2.63,0.11
2101698,COTTAGE CHEESE,"Clover Stornetta Farms, Inc.",Branded,Cheese,71.0,12.4,0.0,3.54,,0.0,345.0,0.0,0.0,0.175
2102331,COTTAGE CHEESE,"Winn-Dixie Stores, Inc.",Branded,Cheese,78.0,12.2,1.3,5.22,,0.0,417.0,13.0,0.87,0.156
2099164,COTTAGE CHEESE,"Winn-Dixie Stores, Inc.",Branded,Cheese,105.0,12.3,4.39,4.39,,0.0,377.0,22.0,2.63,0.117
2455951,COTTAGE CHEESE,McIlhenny Company,Branded,Cheese,106.0,11.5,4.42,4.42,,0.0,398.0,22.0,2.65,0.108
2038048,COTTAGE CHEESE,Dean Foods Company,Branded,Cheese,97.0,10.6,4.42,4.42,,0.0,363.0,22.0,2.65,0.109
2038053,COTTAGE CHEESE,Dean Foods Company,Branded,Cheese,97.0,10.6,4.42,4.42,,0.0,363.0,22.0,2.65,0.109
2412209,COTTAGE CHEESE,"Coblentz Distributing, Inc.",Branded,Cheese,80.0,10.6,1.33,4.42,,0.0,425.0,9.0,0.88,0.133
2109742,COTTAGE CHEESE,Super Store Industries,Branded,Cheese,73.0,11.8,0.0,5.45,,0.0,364.0,5.0,0.0,0.162
2112104,COTTAGE CHEESE,"Clover Stornetta Farms, Inc.",Branded,Cheese,106.0,12.4,4.42,2.65,,0.0,301.0,18.0,2.65,0.117
2112108,COTTAGE CHEESE,"Clover Stornetta Farms, Inc.",Branded,Cheese,80.0,12.4,1.77,3.54,,0.0,336.0,4.0,1.33,0.155
2112109,COTTAGE CHEESE,"Clover Stornetta Farms, Inc.",Branded,Cheese,106.0,12.4,4.42,2.65,,0.0,301.0,18.0,2.65,0.117
1921012,COTTAGE CHEESE,"Ahold USA, Inc. ",Branded,Cheese,71.0,10.6,0.88,5.31,,0.0,363.0,9.0,0.88,0.149
1920216,COTTAGE CHEESE,"Ahold USA, Inc. ",Branded,Cheese,80.0,14.2,0.88,3.54,,0.0,53.0,9.0,0.88,0.177
2117008,COTTAGE CHEESE,Berkeley Farms Inc.,Branded,Cheese,88.0,13.3,2.21,3.54,,0.0,319.0,13.0,1.33,0.151
2117063,COTTAGE CHEESE,Anderson Dairy Inc,Branded,Cheese,80.0,12.4,1.77,3.54,,0.0,336.0,4.0,1.33,0.155
1047855,COTTAGE CHEESE,LALA U.S. INC,Branded,Cheese,97.0,10.6,4.42,3.54,,0.0,425.0,18.0,3.1,0.109
2025330,COTTAGE CHEESE,Dutch Farms Inc.,Branded,Cheese,97.0,11.5,3.54,3.54,,0.0,336.0,27.0,2.65,0.119
2121377,COTTAGE CHEESE,Bashas' Markets,Branded,Cheese,100.0,11.8,4.09,4.55,,0.0,336.0,18.0,2.73,0.118
2071672,COTTAGE CHEESE,"Land O'Lakes, Inc.",Branded,Cheese,97.0,10.6,4.42,4.42,,0.0,363.0,22.0,2.65,0.109
2071673,COTTAGE CHEESE,"Land O'Lakes, Inc.",Branded,Cheese,97.0,10.6,4.42,4.42,,0.0,381.0,22.0,2.65,0.109
2485706,COTTAGE CHEESE,"Ahold USA, Inc. ",Branded,Cheese,80.0,12.4,2.21,3.54,,0.0,345.0,13.0,1.33,0.155
2617239,COTTAGE CHEESE,McIlhenny Company,Branded,Cheese,106.0,10.6,4.42,4.42,,0.0,425.0,22.0,3.1,0.1
2068771,TUNA,Island Lobster Ltd,Branded,Frozen Fish & Seafood,94.0,5.66,3.77,10.4,,0.9,443.0,5.0,0.47,0.06
2706311,"Fish, tuna, canned",N/A,Survey (FNDDS),Fish,85.0,19.0,0.94,0.08,,0.0,219.0,36.0,0.224,0.224
2706310,"Fish, tuna, cooked",N/A,Survey (FNDDS),Fish,176.0,30.31,5.14,0.01,,0.0,271.0,52.0,1.4,0.172
2706309,"Fish, tuna, NFS",N/A,Survey (FNDDS),Fish,85.0,19.0,0.94,0.08,,0.0,219.0,36.0,0.224,0.224
2706308,"Fish, tuna, raw",N/A,Survey (FNDDS),Fish,109.0,24.4,0.49,0.0,,0.0,45.0,39.0,0.172,0.224
2708965,Sushi roll tuna,N/A,Survey (FNDDS),"Egg rolls, dumplings, sushi",97.0,7.4,0.26,15.3,,0.7,342.0,10.0,0.069,0.076
2708971,"Sushi, topped with tuna",N/A,Survey (FNDDS),"Egg rolls, dumplings, sushi",100.0,9.66,0.29,13.39,,0.6,306.0,14.0,0.083,0.097
2706560,Tuna cake or patty,N/A,Survey (FNDDS),Seafood mixed dishes,206.0,15.33,14.92,2.65,,0.2,372.0,71.0,2.446,0.074
2706839,Tuna salad with cheese,N/A,Survey (FNDDS),Seafood mixed dishes,214.0,11.33,17.58,2.85,,0.4,440.0,34.0,4.11,0.053
2706840,Tuna salad with egg,N/A,Survey (FNDDS),Seafood mixed dishes,190.0,10.28,15.4,2.74,,0.4,393.0,56.0,2.583,0.054
2708817,Macaroni or noodles with cheese and tuna,N/A,Survey (FNDDS),Macaroni and cheese,164.0,7.59,6.79,18.23,,0.8,176.0,19.0,2.682,0.046
2707034,Tuna salad sandwich on white,N/A,Survey (FNDDS),Seafood sandwiches,218.0,9.86,11.76,18.33,,1.0,429.0,18.0,1.954,0.045
2707038,Tuna salad sandwich wrap,N/A,Survey (FNDDS),Seafood sandwiches,244.0,10.59,14.82,16.99,,1.3,564.0,25.0,4.085,0.043
2707036,Tuna salad sandwich on wheat,N/A,Survey (FNDDS),Seafood sandwiches,217.0,10.52,11.89,17.07,,2.1,425.0,18.0,1.92,0.048
2708942,Macaroni or pasta salad with tuna,N/A,Survey (FNDDS),"Pasta mixed dishes, excludes macaroni and cheese",200.0,6.69,9.9,20.88,,1.2,206.0,11.0,1.579,0.033
2706572,Tuna and rice with mushroom sauce,N/A,Survey (FNDDS),Seafood mixed dishes,128.0,4.57,5.17,15.39,,0.4,298.0,6.0,0.883,0.036
2706828,"Tuna salad, made with mayonnaise",N/A,Survey (FNDDS),Seafood mixed dishes,194.0,10.07,15.84,2.89,,0.4,418.0,27.0,2.52,0.052
2706450,Tuna with cream or white sauce,N/A,Survey (FNDDS),Seafood mixed dishes,102.0,14.42,3.71,2.81,,0.0,327.0,32.0,1.557,0.141
2707035,"Tuna salad sandwich on white, with cheese",N/A,Survey (FNDDS),Seafood sandwiches,233.0,10.96,13.5,16.94,,0.9,489.0,25.0,3.457,0.047
2708929,"Macaroni or noodles, creamed, with cheese and tuna",N/A,Survey (FNDDS),Macaroni and cheese,143.0,7.85,4.52,17.35,,1.0,252.0,19.0,2.31,0.055
2707037,"Tuna salad sandwich on wheat, with cheese",N/A,Survey (FNDDS),Seafood sandwiches,232.0,11.55,13.62,15.81,,1.9,486.0,25.0,3.427,0.05
2708945,Macaroni or pasta salad with tuna and egg,N/A,Survey (FNDDS),"Pasta mixed dishes, excludes macaroni and cheese",197.0,7.14,9.96,19.36,,1.1,200.0,39.0,1.709,0.036
2708810,"Macaroni with tuna, Puerto Rican style",N/A,Survey (FNDDS),"Pasta mixed dishes, excludes macaroni and cheese",147.0,7.71,4.74,18.13,,0.9,359.0,10.0,1.202,0.052
2706571,Tuna noodle casserole with mushroom sauce,N/A,Survey (FNDDS),Seafood mixed dishes,139.0,9.02,5.18,13.92,,0.8,328.0,28.0,1.901,0.065
2706832,"Tuna salad, made with creamy dressing",N/A,Survey (FNDDS),Seafood mixed dishes,148.0,9.98,10.29,4.02,,0.4,460.0,24.0,1.65,0.067
2706834,"Tuna salad, made with Italian dressing",N/A,Survey (FNDDS),Seafood mixed dishes,106.0,9.83,5.08,5.35,,0.4,498.0,18.0,0.76,0.093
2706829,"Tuna salad, made with light mayonnaise",N/A,Survey (FNDDS),Seafood mixed dishes,106.0,9.78,5.4,4.75,,0.4,464.0,22.0,0.879,0.092
2706570,Tuna noodle casserole with cream or white sauce,N/A,Survey (FNDDS),Seafood mixed dishes,168.0,10.12,7.3,15.41,,0.7,249.0,37.0,3.262,0.06
2706447,"Fish with cream or white sauce, not tuna or lobster",N/A,Survey (FNDDS),Seafood mixed dishes,116.0,17.05,3.64,2.75,,0.0,343.0,45.0,1.513,0.147
2706858,"Tuna casserole with vegetables and mushroom sauce, no noodles",N/A,Survey (FNDDS),Seafood mixed dishes,115.0,9.04,5.12,8.39,,0.9,364.0,21.0,1.98,0.079
2706718,Tuna noodle casserole with vegetables and mushroom sauce,N/A,Survey (FNDDS),Seafood mixed dishes,124.0,8.11,4.46,12.96,,1.0,280.0,24.0,1.626,0.065
2706833,"Tuna salad, made with light creamy dressing",N/A,Survey (FNDDS),Seafood mixed dishes,78.0,9.82,1.16,7.38,,0.4,488.0,18.0,0.239,0.126
2706835,"Tuna salad, made with light Italian dressing",N/A,Survey (FNDDS),Seafood mixed dishes,76.0,9.78,2.0,4.91,,0.4,478.0,18.0,0.307,0.129
2706714,"Tuna noodle casserole with vegetables, cream or white sauce",N/A,Survey (FNDDS),Seafood mixed dishes,149.0,8.99,6.22,14.16,,0.9,211.0,31.0,2.764,0.06
2706830,"Tuna salad, made with mayonnaise-type salad dressing",N/A,Survey (FNDDS),Seafood mixed dishes,108.0,9.88,5.19,5.92,,0.4,425.0,22.0,0.857,0.091
2706836,"Tuna salad, made with any type of fat free dressing",N/A,Survey (FNDDS),Seafood mixed dishes,72.0,9.6,1.15,6.25,,0.8,460.0,20.0,0.261,0.133
2706831,"Tuna salad, made with light mayonnaise-type salad dressing",N/A,Survey (FNDDS),Seafood mixed dishes,106.0,9.78,5.4,4.75,,0.4,464.0,22.0,0.879,0.092
2525486,"TUNA POKE, TUNA","Genji, Inc.",Branded,Other Deli,152.0,5.05,1.52,29.0,,0.3,663.0,7.0,0.0,0.033
2196012,"TUNA ROLL, TUNA",K-9 Tag Company,Branded,Sushi,141.0,,3.4,21.8,,1.0,519.0,7.0,0.24,
2486882,"TUNA SALAD, TUNA","Hearthside USA, LLC",Branded,Deli Salads,240.0,13.0,19.0,3.0,,0.0,500.0,25.0,3.0,0.054
2390914,"TUNA SALAD, TUNA",Hannaford Bros. Co.,Branded,Deli Salads,290.0,11.0,25.0,5.0,,0.0,37.0,35.0,3.5,0.038
2656911,"TUNA SALAD, TUNA",Target Stores,Branded,Deli Salads,390.0,10.0,37.0,6.0,,2.0,350.0,70.0,6.0,0.026
2468759,"TUNA SALAD, TUNA","Bumble Bee Foods, LLC",Branded,Canned Tuna,80.0,12.0,0.5,7.0,,1.0,470.0,25.0,0.0,0.15
2150070,"TUNA SALAD, TUNA",Price Chopper Supermarkets,Branded,Deli Salads,270.0,14.0,20.0,9.0,,0.0,450.0,40.0,3.5,0.052
2552808,"TUNA SALAD, TUNA","Reser's Fine Foods, Inc.",Branded,Deli Salads,259.0,10.6,21.2,8.24,,0.0,518.0,29.0,3.53,0.041
2487098,"TUNA SALAD, TUNA","Packer Avenue Foods, Inc.",Branded,Deli Salads,239.0,7.96,22.1,6.19,,0.9,504.0,22.0,3.54,0.033
2179768,"TUNA SALAD, TUNA",Wells Select,Branded,Deli Salads,192.0,16.2,12.1,3.03,,1.0,414.0,30.0,1.01,0.084
2385457,"TUNA SALAD, TUNA","Delhaize America, Inc.",Branded,Deli Salads,300.0,11.0,26.0,6.0,,0.0,500.0,20.0,4.0,0.037
1931715,"TUNA SALAD, TUNA","B. Robert's Foods, Inc.",Branded,Deli Salads,247.0,15.3,16.5,7.06,,0.0,518.0,24.0,2.35,0.062
2592859,"TUNA SALAD, TUNA",Wawa Incorporated,Branded,Deli Salads,266.0,10.9,21.9,7.03,,0.8,422.0,31.0,1.95,0.041
